soc10 Occupation Name,F & O Probability,soc10,isco08,Class Level,ISCO Occupation Name,Sector ISIC,ID
-,-,551011,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551012,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551013,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551014,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551015,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551016,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551017,110,0,Commissioned Armed Forces Officer,-,0-
-,-,551019,110,0,Commissioned Armed Forces Officer,-,0-
-,-,552011,210,0,Non-commissioned Armed Forces Officer,-,0-
-,-,552012,210,0,Non-commissioned Armed Forces Officer,-,0-
-,-,552013,210,0,Non-commissioned Armed Forces Officer,-,0-
-,-,553011,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553012,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553013,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553014,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553015,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553016,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553017,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553018,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,553019,310,0,"Armed Forces Occupations, Other Ranks",-,0-
-,-,111031,1111,1,Legislatures,-,1-
"Chief Executives, label 0",0.015,111011,1112,1,Senior Government Officials,O,1O
General and Operations Managers,0.16,111021,1112,1,Senior Government Officials,O,1O
Emergency Management Directors,0.003,119161,1112,1,Senior Government Officials,O,1O
"Chief Executives, label 0",0.015,111011,1113,1,Traditional Chiefs and Head of Villages ,O,1O
-,-,111031,1113,1,Traditional Chiefs and Head of Villages ,O,1O
General and Operations Managers,0.16,111021,1114,1,Senior Officials of Special-Interest Orgs,M,1M
Public Relations and Fundraising Managers,0.015,112031,1114,1,Senior Officials of Special-Interest Orgs,M,1M
"Managers, All Other",0.25,119199,1114,1,Senior Officials of Special-Interest Orgs,M,1M
"Chief Executives, label 0",0.015,111011,1120,1,Managing Directors and Chief Executives,M,1M
General and Operations Managers,0.16,111021,1120,1,Managing Directors and Chief Executives,M,1M
Financial Managers,0.069,113031,1211,1,Finance Managers,K,1K
Compensation and Benefits Managers,0.96,113111,1212,1,Human Resource Managers,N,1N
Human Resources Managers,0.0055,113121,1212,1,Human Resource Managers,M,1M
Training and Development Managers,0.0063,113131,1212,1,Human Resource Managers,P,1P
"Managers, All Other",0.25,119199,1213,1,Policy and Planning Managers,S,1S
Public Relations and Fundraising Managers,0.015,112031,1219,1,Business Services and Administration Note Elsewhere Classified,M,1M
Administrative Services Managers,0.73,113011,1219,1,Business Services and Administration Note Elsewhere Classified,N,1N
Purchasing Managers,0.03,113061,1219,1,Business Services and Administration Note Elsewhere Classified,M,1M
"Information Security Analysts, Web Developers, and Computer Network Architects",0.21,119061,1219,1,Business Services and Administration Note Elsewhere Classified,J,1J
Postmasters and Mail Superintendents,0.75,119131,1219,1,Business Services and Administration Note Elsewhere Classified,H,1H
"Managers, All Other",0.25,119199,1219,1,Business Services and Administration Note Elsewhere Classified,S,1S
Marketing Managers,0.014,112021,1221,1,Sales and Marketing Managers,M,1M
Sales Managers,0.013,112022,1221,1,Sales and Marketing Managers,G,1G
Advertising and Promotions Managers,0.039,112011,1222,1,Advertising and Public Relations Managers,M,1M
Public Relations and Fundraising Managers,0.015,112031,1222,1,Advertising and Public Relations Managers,M,1M
Architectural and Engineering Mangers,0.017,119041,1223,1,Research and Development Managers,M,1M
Natural Sciences Manager,0.018,119121,1223,1,Research and Development Managers,M,1M
"Farmers, Ranchers, and Other Agricultural Managers",0.047,119013,1311,1,Agricultural and Forestry Production Managers,A,1A
"Farmers, Ranchers, and Other Agricultural Managers",0.047,119013,1312,1,Aquaculture and Fisheries Production Managers,A,1A
Industrial Production Managers,0.03,113051,1321,1,Water and Sewage Manager,E,1E
Industrial Production Managers,0.03,113051,1321,1,Electricity Managers,D,1D
Industrial Production Managers,0.03,113051,1321,1,Manufacturing Managers,C,1C
"Managers, All Other",0.25,119199,1322,1,Mining Managers,B,1B
Construction Managers,0.071,119021,1323,1,Construction Managers,F,1F
"Transportation, Storage, and Distribution Managers, label 0",0.59,113071,1324,1,"Supply, Distribution and Related Managers",H,1H
Computer and Information Systems Managers,0.035,113021,1330,1,Information and Communication Technology Services Managers,J,1J
"Education Administrators, Preschool and Childcare Centre/Program, label 0",0.015,119031,1341,1,Child Care Services Managers,P,1P
Medical and Health Services Managers,0.073,119111,1342,1,Health Services Managers,Q,1Q
General and Operations Managers,0.16,111021,1343,1,Aged Care Services Managers,Q,1Q
Medical and Health Services Managers,0.073,119111,1343,1,Aged Care Services Managers,Q,1Q
"Social and Community Services Managers, label 0",0.0067,119151,1344,1,Social Welfare Managers,Q,1Q
"Education Administrators, Elementary and Secondary School",0.0046,119032,1345,1,Education Managers,P,1P
"Education Administrators, Postsecondary",0.01,119033,1345,1,Education Managers,P,1P
-,-,119039,1345,1,Education Managers,P,1P
General and Operations Managers,0.16,111021,1346,1,Financial and Insurance Services Branch Managers,K,1K
Financial Managers,0.069,113031,1346,1,Financial and Insurance Services Branch Managers,K,1K
"Managers, All Other",0.25,119199,1349,1,Professional Services Managers Not Elsewhere Classified -Real Estate,L,1L
Lodging Managers,0.0039,119081,1411,1,Hotel Managers,I,1I
Food Service Managers,0.083,119051,1412,1,Restaurant Managers,I,1I
General and Operations Managers,0.16,111021,1420,1,Retail and Wholesale Trade Managers,G,1G
Gaming Managers,0.091,119071,1431,1,"Sports, Recreation and Cultural Centre Managers",R,1R
